取得日時,取得URL,名称,住所,TEL,設立,資本金,年商,部署,従業員,事業
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/astsubasadenki,株式会社アース,福岡県福岡市中央区渡辺通5-14-12 南天神ビル,,2020年5月18日,,,パートナー事業部,,助成金コンサルティング事業 エネルギーソリューション事業 セキュリティソリューション事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/jobcanftg,株式会社エフティグループ,東京都中央区日本橋蛎殻町2-13-6 EDGE水天宮,,1985年8月1日,"1,344百万円（2024年3月31日現在）","40,698百万円（2023年3月期）",,連結359名（2024年3月31日現在）,【情報通信サービス】 スマートロック・UTM（統合脅威管理）等ネットセキュリティ商品の企画・販売・施工・保守 ビジネスホン等・OA機器等の販売、施工、保守光コラボレーション（光回線）及びインターネットサービスプロバイダーのサービス提供 【環境省エネルギーサービス】 LED照明、空調機器の販売・施工・保守太陽光発電設備・蓄電池等環境関連商品の販売、施工、保守節水装置「JET」のレンタルサービス
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/okosaramunch,合同会社RIVET,東京都中央区銀座6-13-16 銀座wallビル5階,,2023年12月,"1,000,000円",,業務委託パートナー事業部,,子育てママ向けワークショップ運営
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/ochadukeaoi,贅沢御茶漬専門店 蒼aoi 運営：ジーフォワード株式会社,東京都千代田区神田多町2-1 神田東山ビルC-Lounge7階,,2017年6月,"9,000,000円",,ブランドシェアリング事業部,,フードデリバリー事業 ブランドシェアリング事業 グルメ通販事業 システム開発事業 デジタル広告代理業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/cosmosbtosup,株式会社コスモネット,京都市中京区烏丸通四条上る笋町689番地 京都御幸ビル6階 東京都港区新橋2-6-2 新橋アイマークビル10階,,1991年5月1日（創業1979年）,"5億6,600万円","899億3,700万円（2024年3月期グループ計）",法人営業管理グループ,"2,226名（2024年3月現在）",ICTサービスプロバイダー（ショップ394店舗：2024年3月現在） 企業向けソリューション 情報通信システム
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/neofreecall-costcutgroup,株式会社コスト削減グループ,福岡県福岡市博多区博多駅東3丁目3-3 新比恵ビル9階,,2005年8月,"1,000万円（グループ資本：6,400万円）",,,,通信回線販売 通信回線開設・移設関連工事 通信機器、関連端末の販売 システム開発 WEB制作 電気通信事業届出番号H-18-942
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/gimic-dfile,株式会社ギミック,東京都渋谷区南平台町2-17 日交渋谷南平台ビル7F,,2003年12月9日,"2億3,875万円（資本準備金含む）",32.2億円（2024年3月期取扱高）,全国営業チャネル戦略室,335名（2024年4月1日現在）,医療情報メディア事業 医療連携システム事業 転職支援サービス事業
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/syokulab-kids,ライフロボ株式会社,東京都港区赤坂2-14-13 シャトレ赤坂2F,,,"1,000万円",,,,ヘルスケア事業全般 アプリケーションやシステム開発の受託及び運用 京都サロンの運営 職業紹介事業（許可NO：13-ユ-307394）
2025/11/05 11:37:35,https://bahn-rep.com/shot/jcmgf,INSPIRE Japan株式会社,東京都立川市羽衣町1-6-10 能城ビル2F,,2020年2月21日,,,,,窓ガラスフィルム施工事業 ガラスコーティング事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/chiikisoseidenkiac2,株式会社Active,東京都文京区大塚5-9-2 新大塚プラザ7階,,2023年4月,,,,,代理店営業 コールセンター事業の受託運営
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/lime,LiME株式会社,東京都新宿区新宿6-7-1 エルプリメント新宿,,2014年8月26日,3億1302万円,,,,美容業務 美容IT事業・美容に関するソフトウェア、アプリケーション及びシステムの開発、運営及び配信 美容に関する商品の企画、制作、開発及び販売・美容に関する技術開発 美容に関する情報配信、情報処理及びデジタルコンテンツの提供 美容に関するセミナー及びイベント企画、開催及び運営・美容室及び美容師の支援及びコンサルティング デジタルコンテンツ及びウェブサイトの企画、制作、開発、配信及び運営 広告及び宣伝業・広告及び宣伝に関する企画及び制作
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/hestacharge,MXモバイリング株式会社,東京都江東区豊洲3-2-24 豊洲フォレシア 大阪市中央区久太郎町4-1-3 大阪センタービル7階,,1972年12月15日,10億円,"1,334億円（2023年3月期）",法人事業本部 法人ソリューション事業部 ネットワーク営業部（パートナー営業グループ）関西支店,"4,258名（2024年4月1日現在）",携帯電話の販売代理店（ショップ運営） 携帯電話関連商品等の販売 法人向け携帯端末・ソリューションの提供 光回線サービス事業、その他取次事業 銀行代理業、保険代理業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/onlyservice-benefitjapan,株式会社ベネフィットジャパン,大阪府大阪市中央区道修町1丁目5-18 朝日生命道修町ビル2F,,1996年6月6日,6億56百万円（2024年4月現在）,130億65百万円（2024年3月期）,営業本部,327名（2024年4月現在）,MVNO（仮想移動体通信事業者）ならびにFVNO（仮想固定通信事業者）サービス、インターネットオプションサービス及びコンテンツ、サポートサービスの提供 ソフトバンク一次代理店業務など個人向けサービスの加入取次
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/softbankgroup2,ソフトバンク株式会社,東京都港区海岸一丁目7番1号,,1986年12月9日,"214,394百万円（2024年3月31日現在）",,,"18,889人（2024年3月31日現在）",通信キャリア事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/mymenu,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/ftbeee,株式会社エフティグループ,東京都中央区日本橋蛎殻町2-13-6 EDGE水天宮,,1985年8月1日,"1,344百万円（2022年3月31日現在）","40,698百万円（2023年3月期）",,連結396名（2022年3月31日現在）,ソリューション事業 環境事業 インターネット事業 技術サポート事業 非常用電源の負荷試験事業 NTT事業 パートナー事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/matometehikarisumamoba,スマートモバイルコミュニケーションズ株式会社,東京都新宿区西早稲田2-20-9 小杉ビル西早稲田,,2007年2月13日,51百万円（2023年12月末現在）グループ資本金,"3,758百万円（2023年12月末現在）連結",ソリューション営業部,,MVNO事業 電気通信事業法に定める電気通信事業 情報処理サービス業ならびに情報提供サービス業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/tsuushin-hikari-websupport,株式会社ウェブサポート,大阪府大阪市浪速区元町3-10-4 晋陽ビル4階,,,,,,,光回線取次事業 プロバイダー取次事業 携帯端末取次事業 光コラボレーション取次事業
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/paid,株式会社ラクーンフィナンシャル,東京都中央区日本橋蛎殻町1-14-14,,2010年10月,4億9000万円,,,,決済・保証事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/uspot,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/upay,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/smokeclear,株式会社エルゴジャパン,東京都品川区大崎1-6-4 新大崎勧業ビルディング7F,,1988年創業（2005年設立）,"5,000万円",,スモーククリア営業部,,喫煙ブース製造 空気清浄機製造 商業施設向け椅子製造 パーソナルボード製造 飛沫防止パーテーション製造
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-repre,バーンコンサルティングソリューショングループ株式会社,愛知県名古屋市中区丸の内2-17-13 NK丸の内ビル2F,,,,,,,・コンサルティング事業 ・インターネットマーケティング事業 ・ビジネスマッチングサイト「代理店募集サイト【レプレ】」の企画・開発・運営 ・フランチャイズランキングサイト「FCER」の企画・開発・運営
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/usenanshinhoken,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/haluenedenki2,株式会社ハルエネ,東京都豊島区西池袋一丁目4-10,,2010年6月1日,1億円,"1,150億円（2023年3月期）",,70名,経済産業省 小売電気事業者（事業者コード A0311） ハルエネでんき ハルエネガス
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/ecologpropan,株式会社エコログ,東京都豊島区西池袋1-4-10,,2020年7月31日,"2,000万円","1,000百万円（2022年3月）",エネルギー事業部,50名,エネルギー事業 経済産業省 ガス小売事業者（A0086） 東京都 液化石油ガス販売事業者（13A0741） 経済産業省 小売電気事業者（A0550）
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/toritsugisalespartner,株式会社セールスパートナー,東京都豊島区南池袋2-9-9,,2006年12月15日,1億100万円,,,,リアルアフィリエイト事業 OEM事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/nsskkoutekishikinnkms,NSSホールディングス株式会社,東京都新宿区西新宿6-8-1 住友不動産新宿オークタワー21階,,2007年1月4日,"5,000万円（グループ合計1億円）",,,324名（グループ全体）,助成金コンサルティング事業 ISOサポート事業 クラウドコミュニケーション事業 法人向けソリューション事業 Webマーケティング事業 教育研修事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/nysknverec,NowYouSee株式会社,北海道札幌市中央区南9条西6丁目1-1 シティビル5F,,2019年10月,"2,300万円",,,30名,ECインフラ・カスタマーサポート、インターネット事業、アパレル事業、デザイン事業、マーケティング事業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/tebasaki-tsubasaya-lande,株式会社L&E,愛知県名古屋市昭和区東畑町1-56-3,,1984年,"7,500万円",,,,本格手羽先唐揚げ・居酒屋チェーン「つばさや」の直営およびFC（フランチャイズ）運営
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/chrea,一般社団法人クレア人財育英協会（SAグループ）,東京都千代田区紀尾井町3-12 紀尾井町ビル6F,,,,,,,雇用クリーン認定制度の運営
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/happyeneset,株式会社エコログ,東京都豊島区西池袋1-4-10,,2020年7月31日,"10,000万円","1,000百万円（2022年3月）",エネルギー事業部,50名,エネルギー事業 経済産業省 ガス小売事業者（A0086） 東京都 液化石油ガス販売事業者（13A0741） 経済産業省 小売電気事業者（A0550）
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/salespartneroem,株式会社セールスパートナー,東京都豊島区南池袋2-9-9,,2006年12月15日,1億100万円,,,,リアルアフィリエイト事業 OEM事業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/stadiumim2,株式会社スタジアム,東京都港区赤坂3-4-3 赤坂マカベビル6F,,2012年8月,"2,026,560,000円（準備金含む）",,,165名（2022年6月末現在）,営業代行 ビジネスプロセスアウトソーシング Webサービス・アプリ・システムの企画・開発・販売の事業企画・運営
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/zepecable,株式会社ZEPE（ゼペ）,東京都千代田区神田小川町2-2 センタークレストビル7F,,2008年11月17日,"2,000万円",,パートナー事業部,127名※その他従事者217名（令和5年10月1日現在）,アウトソーシング事業 電気通信事業 ソリューション事業 スポーツ事業 エコロジー推進事業 不動産事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/qbnailkizuna,絆ホールディングス株式会社,東京都新宿区新宿6-24-20 KDX新宿六丁目ビル9F,,2008年4月10日,"5,000万円",75億円,FC加盟事業部,250名,PR事業 ソリューション事業 HR事業 コールセンター事業 美容事業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/nln-dbarai,株式会社NLNジャパン（NLNグループ）,東京都新宿区西新宿6丁目6番3号,,2003年10月1日,"2,000万円",,,,決済サービスの販売 WEB広告サービスの販売 オフィス業務効率化サービスの販売 地盤ネット事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/glgwsaihanpartner,Global Gateway株式会社,東京都千代田区丸の内2-5-1 丸の内二丁目ビル4階,,2020年4月7日,"3,000万円",,ビジネス開発事業部,,ICT、通信コンサルティング事業 通信関連商品の輸入販売 貿易事業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/blayntouchpanel,ブレイン株式会社,東京都港区六本木6丁目10番1号 六本木ヒルズ森タワー17階,,2003年2月,1億円,,営業統括本部,,クラウド型サービスの企画・開発、運営事業 ハードウェアの企画・開発
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/huhyokuchikomipd,株式会社Giv-ning（ギブニング）,東京都新宿区四谷坂町10-12 ガーデンタワー37 8F,,,,,パートナー事業部,,高評価クチコミ獲得支援ツール「クチコミッション」運営 SaaSツールの開発、提供、代理販売・実店舗サービスへの経営支援
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/yuushimadoguchi,トキワコンサルティング株式会社,東京都千代田区紀尾井町3-8 第2紀尾井町ビル903,,2015年9月28日,1000万円,,,,資金調達支援、経理代行
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/marubenimxmobisogo,MXモバイリング株式会社,東京都江東区豊洲3-2-24 豊洲フォレシア 大阪市中央区久太郎町4-1-3 大阪センタービル7階,,1972年12月15日,10億円,"1,334億円（2023年3月期）",法人事業本部 法人ソリューション事業部 ネットワーク営業部（パートナー営業グループ）関西支店,"4,258名（2024年4月1日現在）",携帯電話の販売代理店（ショップ運営） 携帯電話関連商品等の販売 法人向け携帯端末・ソリューションの提供 光回線サービス事業、その他取次事業 銀行代理業、保険代理業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/revot,株式会社Arts Japan,愛知県名古屋市中村区平池町4-60-12 グローバルゲート11F,,2020年5月12日,"3,310万円",,パートナー事業部,25名（業務委託・アルバイト含む）,教育現場DXのオールインワンSaaS「Revot」シリーズの開発・運営 学習データ活用及びコンサルティング業務 教育×テクノロジーに特化した情報メディア「Revot Magazine」の運営
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/codelic,株式会社コードリック,石川県金沢市古府3-45-2,,2018年5月16日,"10,000,000円",,,,人工知能設計・開発 システム・アプリケーション開発 商品デザイン・ブランディング 法人向け設備機器開発 産業機器設計・開発
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/bfollowai1,株式会社アプリケーション,東京都豊島区東池袋1-32-4 藤原ビル5階,,2016年3月18日,,,協業パートナー事業部,30名,システム開発、アプリ開発、WEBデザイン、WEBマーケティング、VR制作、LINEスタンプ、WEB漫画、起業0円の運営、火災保険申請事務局の運営
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/nacoowith,株式会社ナック,東京都新宿区西新宿1-25-1 新宿センタービル42階,,1971年5月20日,"67億2,949万3,750円",570億円（2023年3月期連結）,,"連結1,591名（パート・アルバイトは除く）",クリクラ事業 レンタル事業 建築コンサルティング事業 住宅事業 美容健康事業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/shokenanket,株式会社湘建,横浜市西区みなとみらい3-6-1 みなとみらいセンタービル19階,,2009年1月13日,1億円,150億円（2023年実績）,,89名,不動産の売買 不動産の仲介 不動産のコンサルティング 不動産の販売代理業 不動産の賃貸管理 リフォーム事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/enecloud,エネクラウド株式会社,東京都渋谷区道玄坂1-19-2 SPLINEビル6F,,2012年5月,"1億2,000万円",,パートナーセールス事業部,,クラウド電気コンサルティング事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/multifunctionallight,ソニーネットワークコミュニケーションズ株式会社,東京都品川区東品川4-12-3 品川シーサイドTSタワー,,1995年11月1日,79億69百万円,,IoT事業部スマートホームサービス部,"1,823名（2022年3月31日現在連結）",ISP事業 NURO 光事業 モバイル事業 IoT事業 メディア＆アドプラットフォーム事業 法人サービス事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/lpiowaterserver,株式会社エルピオ,千葉県市川市曽谷1-30-18,,1965年4月,"9,850万円（グループ合計 1億2,850万円）",112億円,ライフソリューション本部,324名,LPガスの供給及び各種ガス機器の販売 電力小売事業 都市ガス小売事業 ハウスクリーニング事業 通信事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/lpiodenki,株式会社エルピオ,千葉県市川市曽谷1-30-18,,1965年4月,"9,850万円（グループ合計 1億2,850万円）",112億円,ライフソリューション本部,324名,LPガスの供給及び各種ガス機器の販売 電力小売事業 都市ガス小売事業 ハウスクリーニング事業 通信事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/rakurakudenki,株式会社エクスパートナーズ,東京都新宿区西新宿6-12-1 西新宿パークウエストビル4階,,2020年1月28日,"2,000万円",,楽々でんきパートナー事業部,,アライアンス事業 新電力事業 Web制作事業
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/nunokame,布亀株式会社,兵庫県西宮市今津二葉町3-6,,明治9年（設立1960年2月18日）,9800万円,,営業企画管理部,"2,500名（2022年3月）",配置薬事業 マザーケア宅配事業 漢方薬事業 マザーケア在宅サービス事業 通販事業 家庭生活応援事業
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/dougamanualasweb,株式会社マニュアルプロダクション,愛知県名古屋市西区那古野2-14-1 なごのキャンパス,,2017年4月19日,"163,290,000円",,,,動画マニュアルサーバーの管理・運営 飲食店向け動画マニュアル制作
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/intervmanupro,株式会社マニュアルプロダクション,愛知県名古屋市西区那古野2-14-1 なごのキャンパス,,2017年4月19日,"163,290,000円",,,,動画マニュアルサーバーの管理・運営 飲食店向け動画マニュアル制作
2025/11/05 11:37:36,https://bahn-rep.com/dairiten-bosyu/energyems,エナジー株式会社,名古屋市中区丸の内2-16-3 丸の内ATビル9階,,,"1億5,000万円（グループ資本金）",,,,フィットネスジム経営 飲食店経営
2025/11/05 11:37:36,https://bahn-rep.com/muryoukeisaiandend/stacchi,株式会社マニュアルプロダクション,愛知県名古屋市西区那古野2-14-1 なごのキャンパス,,2017年4月19日,"163,290,000円",,Stacchiパートナー事業部,,動画マニュアルサーバーの管理・運営 飲食店向け動画マニュアル制作
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/nanodental,日本ビテイリース株式会社 （ナノスイカンパニー）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/interview/itvenergy,エナジー株式会社,名古屋市中区丸の内2-16-3 丸の内ATビル9階,,,"1億5,000万円（グループ資本金）",,,,フィットネスジム経営 飲食店経営
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/mediatalk,メディアリンク株式会社,東京都港区芝5-31-17 PMO田町5F,,2009年7月31日,1億円,"2,322百万円（2022年11月期）",AI推進部,連結：112名 単体：82名（アルバイト含む）※2023年5月時点,コールセンターに関するシステムの企画・設計・製造・導入・保守・運用及びコンサルティング ソフトウェア製品の企画・開発および販売・保守 コンピュータシステムの企画・設計・製造・導入・保守・運用及びコンサルティング 情報通信システムに関わる機器、装置の販売・レンタル・保守点検 情報通信ネットワークの設計・設定・保守 情報通信システムのクラウド型販売 固定電話回線、携帯電話の取次事業 インターネット関連事業 上記に付帯する一切の業務
2025/11/05 11:37:37,https://bahn-rep.com/dairiten-bosyu/remophonecloud,合同会社クラウドエンジン,北海道札幌市中央区南2条東2丁目16 堀尾ビル2F,,2020年11月6日,,,販売パートナー事業部,,IP電話サービスの開発・運営 マーケティング事業
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/nanobubblesanso,日本ビテイリース株式会社 （ナノスイカンパニー）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/mttd,丸紅テレコム株式会社,東京都江東区豊洲三丁目2-24 豊洲フォレシア,,2015年4月1日,"5,000万円",,,136名（2020年4月1日現在）,各種通信事業、電力小売事業一次代理店
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/nanoozone,日本ビテイリース株式会社 （ナノスイカンパニー）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/fujitozansui,ナノスイカンパニー （日本ビテイリース株式会社）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/nanoallsyozai,ナノスイカンパニー （日本ビテイリース株式会社）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/nanooxygen,日本ビテイリース株式会社 （ナノスイカンパニー）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/imachikanennaicp,いまチカ株式会社,東京都中央区銀座1丁目16-7 銀座大栄ビル5F,,2017年11月,"78,000,000円",,パートナー事業部,,AI、ブロックチェーン、検索エンジン等プロダクト開発
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/imachika,いまチカ株式会社,東京都中央区銀座1丁目16-7 銀座大栄ビル5F,,2017年11月,"78,000,000円",,パートナー事業部,,AI、ブロックチェーン、検索エンジン等プロダクト開発
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/nanosuimskubaru,ナノスイカンパニー （日本ビテイリース株式会社）,静岡県富士市川成島290-5,,2005年6月30日,"1,500万円",,,,食料品、酒類、清涼飲料水の販売 医薬品医療器具及び化粧品の販売
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/rfbsuiso,一般社団法人就職支援機構,東京都中央区銀座6-13-16 銀座Wallビル5F,,2018年2月,,,,,人材紹介業 催事販売業
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/rivalm,株式会社ディライトソリューションズ,東京都新宿区西新宿6-5-1 新宿アイランドタワー20F,,2015年9月1日,,,,,経営コンサルティング 広告代理業 販売促進戦略の企画立案 外市場展開に関する企画立案及びコンサルティング
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/avanchal,アヴァンチャル （フランスBaghera社日本正規輸入代理店）,東京都中央区銀座7-13-6 サガミビル2F,,,,,,,輸入販売 翻訳業務
2025/11/05 11:37:37,https://bahn-rep.com/dairiten-bosyu/jyutakumarugotocdl,株式会社コードリック,石川県金沢市古府3-45-2,,2018年5月16日,"10,000,000円",,,,人工知能設計・開発 システム・アプリケーション開発 商品デザイン・ブランディング 法人向け設備機器開発 産業機器設計・開発
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/beha2,株式会社BE HAPPY,東京都港区南青山1-15-9 第45興和ビル8F,,2015年4月,800万円（グループ資本金2400万円）,,,48名（グループ従業員368名）,損害保険申請サポート 民泊サイト運営代行 不動産コンサルティング マンスリー・ウィークリーマンションの運営コンサルティング 海外旅行者向けサービス提供
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/careezo,ダブルエース株式会社,愛知県名古屋市中区丸の内2-20-25 メットライフ名古屋丸の内ビル2F,,2015年9月18日,,,代理店統括,100名（2024年1月現在）,セールスプロモーション事業 携帯ショップ向けコンサルティング事業 YouTube運用、動画制作事業 SNS運用事業 有料職業紹介許可番号：23 ユ-302392
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/kkshokenmachingc,株式会社湘建,横浜市西区みなとみらい3-6-1 みなとみらいセンタービル19階,,2009年1月13日,1億円,150億円（2023年実績）,,89名,不動産の売買 不動産の仲介 不動産のコンサルティング 不動産の販売代理業 不動産の賃貸管理 リフォーム事業
2025/11/05 11:37:37,https://bahn-rep.com/dairiten-bosyu/webpkgsstw,株式会社エフティグループ,東京都中央区日本橋蛎殻町2-13-6 EDGE水天宮,,1985年8月1日,"1,344百万円（2022年3月31日現在）","40,698百万円（2023年3月期）",,連結396名（2022年3月31日現在）,ソリューション事業 環境事業 インターネット事業 技術サポート事業 非常用電源の負荷試験事業 NTT事業 パートナー事業
2025/11/05 11:37:37,https://bahn-rep.com/dairiten-bosyu/premiumwater,プレミアムウォーター株式会社,東京都渋谷区神宮前1-23-26 神宮前123ビル,,2016年4月,3億円（2021年3月時点）,,販売パートナー事業部,707名（2021年10月時点）,ミネラルウォーター等の飲料水の製造及び販売 各種付帯サービスの提供
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/aichatgptimachikaserv,いまチカ株式会社,東京都中央区銀座1丁目16-7 銀座大栄ビル5F,,2017年11月,"78,000,000円",,パートナー事業部,,AI、ブロックチェーン、検索エンジン等プロダクト開発
2025/11/05 11:37:37,https://bahn-rep.com/dairiten-bosyu/nysnetshopecbiz,NowYouSee株式会社,北海道札幌市中央区南9条西6丁目1-1 シティビル5F,,2019年10月,"2,300万円",,,30名,物流事業 人材派遣事業 職業紹介事業 オウンドメディア事業 インターネット事業 アパレル事業 アプリ開発事業 デザイン事業 マーケティング事業
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/makit,株式会社シナジー,大阪府大阪市中央区南本町2-2-9 辰野南本町ビル7F,,2010年1月,"3,000万円",,,280名,CTIシステム開発 コンサルティング事業 コールセンター事業 マーケティング事業 電気通信事業届出事業者（届出番号：E-24-03628）
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/enesite,株式会社エネサイト,鹿児島県鹿児島市鷹師2-7-20 ロワイヤル新上橋1階,,2013年10月1日,900万円,,,,住宅用太陽光発電システムの販売、施工 産業用太陽光発電システムの施工 中古太陽光投資物件の販売 太陽光発電設備の保守、点検、メンテナンス業務 電気設備工事全般（住宅、ビル、病院、事務所等） 住宅オール電化のご提案と施工 住宅ローン借り換えによる、ゼロ円、低コストリフォーム、太陽光設備導入のご提案
2025/11/05 11:37:37,https://bahn-rep.com/muryoukeisaiandend/rakutenmobilebiz,楽天モバイル株式会社,東京都世田谷区玉川一丁目14番1号 楽天クリムゾンハウス,,,,,,"4,830人（2023年1月1日現在）",電気通信事業法に基づく電気通信事業その他通信に関する事業
